episode,env_id,update,global_step,mode,alpha,reward_scale,ret_used,ret_env_scaled,ret_shaping,ep_len,total_cost_yuan,loss_term,v_term,line_term,switch_term,trafo_term,risk_term,import_cost_yuan,loss_cost_yuan,v_cost_yuan,line_cost_yuan,trafo_cost_yuan,risk_cost_yuan_like,switch_cost_yuan,pf_failed,total_scale_yuan,risk_scale_yuan
1,0,1,1472,WARMUP_SR,0.0,1e-06,-68.90982820373029,-68.90982820373029,0.0,24,4314399.210576454,367.0004623768255,4102.484661139585,237281.67511563454,1600.0,2499.7557396827074,4060204.17245646,8711.12260353766,367.0004623768255,4102.484661139585,237281.67511563454,2499.7557396827074,4060204.17245646,1600.0,0,3020117.620330358,2216202.335563534
2,1,1,1472,WARMUP_SR,0.0,1e-06,-78.6140713468194,-78.6140713468194,0.0,24,7391644.828556174,287.3367490700833,749.1929241837536,573063.7754286346,1600.0,2499.6649950930014,6801813.914137303,11918.281070960666,287.3367490700833,749.1929241837536,573063.7754286346,2499.6649950930014,6801813.914137303,1600.0,0,3020117.620330358,2216202.335563534
3,2,1,1472,WARMUP_SR,0.0,1e-06,-60.46097356081009,-60.46097356081009,0.0,24,10175888.16927269,1214.936447133025,42338.611701385285,1511873.9148462212,2400.0,2499.710058337546,8604247.339593275,12528.593073470438,1214.936447133025,42338.611701385285,1511873.9148462212,2499.710058337546,8604247.339593275,2400.0,0,3020117.620330358,2216202.335563534
4,3,1,1472,WARMUP_SR,0.0,1e-06,-16.630637474358082,-16.630637474358082,0.0,24,44429.500597435705,91.38766190849798,343.2461891491086,0.0,2400.0,2498.907588123567,35519.887053911094,3667.459766251931,91.38766190849798,343.2461891491086,0.0,2498.907588123567,35519.887053911094,2400.0,0,3020117.620330358,2216202.335563534
5,4,1,1472,WARMUP_SR,0.0,1e-06,-49.77455076575279,-49.77455076575279,0.0,24,1026375.4463460875,223.36432601244698,3054.9358867893216,6385.723864889086,800.0,2499.326927177697,1007780.0779574037,5855.381709827681,223.36432601244698,3054.9358867893216,6385.723864889086,2499.326927177697,1007780.0779574037,800.0,0,3020117.620330358,2216202.335563534
6,5,1,1472,WARMUP_SR,0.0,1e-06,-87.25301161780953,-87.25301161780953,0.0,24,616640.5363400069,110.26362284764637,244.67196649974582,3199.1759875606226,800.0,5999.395338424902,600415.6077771268,5981.685270394801,110.26362284764637,244.67196649974582,3199.1759875606226,5999.395338424902,600415.6077771268,800.0,0,3020117.620330358,2216202.335563534
7,6,1,1472,WARMUP_SR,0.0,1e-06,-21.791861977428198,-21.791861977428198,0.0,24,547366.9873010791,76.56751195501036,0.05173569428516003,4725.206744394908,2400.0,5999.415451349991,528019.7047393617,6222.608630278285,76.56751195501036,0.05173569428516003,4725.206744394908,5999.415451349991,528019.7047393617,2400.0,0,3020117.620330358,2216202.335563534
8,7,1,1472,WARMUP_SR,0.0,1e-06,-49.09107553213835,-49.09107553213835,0.0,24,2763392.017869678,138.5284941322408,43.65832737066366,75144.3548667306,3200.0,5999.582267600245,2670344.273668213,8660.148739763395,138.5284941322408,43.65832737066366,75144.3548667306,5999.582267600245,2670344.273668213,3200.0,0,3020117.620330358,2216202.335563534
9,8,1,1472,WARMUP_SR,0.0,1e-06,-32.57985386997461,-32.57985386997461,0.0,24,2177625.216664748,119.21431939196343,15.769394906272906,45939.49624777843,2400.0,5999.549619532699,2115234.006511759,8036.394890771572,119.21431939196343,15.769394906272906,45939.49624777843,5999.549619532699,2115234.006511759,2400.0,0,3020117.620330358,2216202.335563534
10,9,1,1472,WARMUP_SR,0.0,1e-06,-27.493644692003727,-27.493644692003727,0.0,24,1043806.690116101,131.5152107158218,563.6645871055641,6794.825316168818,2400.0,2499.327109469326,1025587.6289698881,5961.244133469109,131.5152107158218,563.6645871055641,6794.825316168818,2499.327109469326,1025587.6289698881,2400.0,0,3020117.620330358,2216202.335563534
11,10,1,1472,WARMUP_SR,0.0,1e-06,-17.67182668671012,-17.67182668671012,0.0,24,47372.15847059567,107.94230751167781,83.9370061910544,0.0,1600.0,2499.4811670954205,35392.62875807296,7796.1115392362335,107.94230751167781,83.9370061910544,0.0,2499.4811670954205,35392.62875807296,1600.0,0,3020117.620330358,2216202.335563534
12,11,1,1472,WARMUP_SR,0.0,1e-06,-74.12850460316986,-74.12850460316986,0.0,24,5244511.58258401,482.59836573789136,8134.004018818655,464167.0361452955,2400.0,2499.773718506121,4758026.743039018,9284.025662372778,482.59836573789136,8134.004018818655,464167.0361452955,2499.773718506121,4758026.743039018,2400.0,0,3020117.620330358,2216202.335563534
13,12,1,1472,WARMUP_SR,0.0,1e-06,-34.76122660562396,-34.76122660562396,0.0,24,1517742.8920930643,98.3928355505667,12.420243547412785,18323.681920999155,1600.0,2499.378407106789,1488800.560465621,6506.851055789889,98.3928355505667,12.420243547412785,18323.681920999155,2499.378407106789,1488800.560465621,1600.0,0,3020117.620330358,2216202.335563534
14,13,1,1472,WARMUP_SR,0.0,1e-06,-41.559180188924074,-41.559180188924074,0.0,24,1447178.1490333353,109.07269462416562,48.99611135312675,17329.527534856403,800.0,2499.3708195984095,1420087.0118354282,6413.2427320992065,109.07269462416562,48.99611135312675,17329.527534856403,2499.3708195984095,1420087.0118354282,800.0,0,3020117.620330358,2216202.335563534
